zip,cluster,doctor_count
16509,root_Ac_Ac_A,1
16510,root_A,1
16510,root_Ac_Ac_A,2
16512,root_Ac_A,2
16512,root_Ac_Ac_A,2
16512,root_Ac_Ac_Ac,2
16544,root_A,4
16544,root_Ac_Ac_A,1
16544,root_Ac_Ac_Ac,1
16550,root_A,3
16550,root_Ac_A,1
16550,root_Ac_Ac_A,2
16550,root_Ac_Ac_Ac,2
16552,root_Ac_Ac_A,1
16601,root_A,1
16601,root_Ac_Ac_A,3
16601,root_Ac_Ac_Ac,3
16602,root_Ac_Ac_A,2
16602,root_Ac_Ac_Ac,4
16625,root_Ac_Ac_A,3
16625,root_Ac_Ac_Ac,1
16635,root_Ac_Ac_A,3
16635,root_Ac_Ac_Ac,4
16646,root_Ac_Ac_A,1
16646,root_Ac_Ac_Ac,2
16648,root_Ac_Ac_A,3
16648,root_Ac_Ac_Ac,1
16659,root_Ac_Ac_A,1
16666,root_Ac_Ac_A,1
16668,root_Ac_A,1
16668,root_Ac_Ac_A,1
16668,root_Ac_Ac_Ac,1
16673,root_Ac_Ac_A,3
16686,root_Ac_Ac_Ac,1
16701,root_A,1
16701,root_Ac_Ac_Ac,2
16801,root_A,4
16801,root_Ac_A,1
16801,root_Ac_Ac_A,3
16801,root_Ac_Ac_Ac,5
16803,root_A,3
16803,root_Ac_A,1
16803,root_Ac_Ac_A,1
16803,root_Ac_Ac_Ac,7
16823,root_Ac_Ac_A,2
16827,root_Ac_Ac_Ac,2
16830,root_A,1
16830,root_Ac_Ac_A,1
16833,root_Ac_Ac_Ac,1
16838,root_Ac_Ac_Ac,1
16866,root_Ac_Ac_A,1
16866,root_Ac_Ac_Ac,1
16870,root_Ac_Ac_A,2
16901,root_Ac_Ac_A,1
16915,root_Ac_Ac_Ac,1
16933,root_Ac_Ac_A,1
16947,root_Ac_Ac_A,1
17003,root_Ac_Ac_A,2
17003,root_Ac_Ac_Ac,4
17004,root_Ac_Ac_A,1
17004,root_Ac_Ac_Ac,1
17007,root_Ac_Ac_Ac,1
17011,root_A,1
17011,root_Ac_Ac_Ac,10
17013,root_Ac_Ac_A,2
17013,root_Ac_Ac_Ac,4
17015,root_A,2
17015,root_Ac_Ac_A,3
17015,root_Ac_Ac_Ac,3
17018,root_Ac_Ac_A,1
17018,root_Ac_Ac_Ac,1
17022,root_Ac_Ac_A,3
17023,root_Ac_Ac_A,2
17023,root_Ac_Ac_Ac,2
17026,root_Ac_Ac_A,4
17032,root_Ac_Ac_A,1
17032,root_Ac_Ac_Ac,2
17033,root_A,3
17033,root_Ac_A,2
17033,root_Ac_Ac_A,5
17033,root_Ac_Ac_Ac,5
17036,root_Ac_Ac_Ac,1
17038,root_Ac_Ac_A,3
17042,root_Ac_Ac_A,2
17042,root_Ac_Ac_Ac,1
17043,root_A,1
17043,root_Ac_A,1
17043,root_Ac_Ac_A,8
17043,root_Ac_Ac_Ac,13
17044,root_Ac_Ac_A,1
17044,root_Ac_Ac_Ac,1
17047,root_Ac_Ac_A,3
17048,root_Ac_Ac_A,3
17048,root_Ac_Ac_Ac,3
17050,root_A,1
17050,root_Ac_Ac_A,2
17050,root_Ac_Ac_Ac,2
17055,root_A,1
17057,root_Ac_Ac_A,2
17057,root_Ac_Ac_Ac,2
17059,root_Ac_Ac_A,3
17059,root_Ac_Ac_Ac,2
17070,root_Ac_Ac_A,5
17070,root_Ac_Ac_Ac,5
17074,root_Ac_Ac_A,4
17078,root_Ac_Ac_A,2
17078,root_Ac_Ac_Ac,4
17084,root_Ac_Ac_A,3
17084,root_Ac_Ac_Ac,3
17086,root_Ac_Ac_A,1
